File,Speaker,Text,ExtractedQuestions,QuestionCode
After Dec11-2019 - t99 t107.xlsx,S2, It should be set. Does it have to be set to zero or one?,does it have to be set to zero or one,C
After Dec11-2019 - t99 t107.xlsx,S2," But why does it keep saying, ""Can't move""?",but why does it keep saying can t move,O
After Dec11-2019 - t99 t107.xlsx,S1," Slider work. Do your thing. It's not doing it. It doesn't change. What the heck is the water level? Water level is negative that times exercise level. So that means, it says that... Wait, wait, wait. Do we just get another one or something?",what the heck is the water level,O
After Dec11-2019 - t99 t107.xlsx,S1," No, but that's the... How's theirs working so well?",how s theirs working so well,O
After Dec11-2019 - t99 t107.xlsx,S2," Well, it should be set to 100, right?",well it should be set to one hundred right,C
After Dec11-2019 - t99 t107.xlsx,S2," So, we have to do one?",so we have to do one,C
After Dec11-2019 - t99 t107.xlsx,S2, One item clicked?,one item clicked,C
After Dec11-2019 - t99 t107.xlsx,S1," Yeah, why is it so laggy? Oh my god, it's funny watching you from this point of view.",yeah why is it so laggy,O
After Dec11-2019 - t99 t107.xlsx,S2," Thank you. I'm so awesome, right?",i m so awesome right,C
After Dec11-2019 - t99 t107.xlsx,S2," Okay, I was looking at that and I was going to say. Okay, now what do we do? Now create a new variable, sugar level.",okay now what do we do,C
After Dec11-2019 - t99 t107.xlsx,S1," We don't make another sprite, we just make another variable, right?",we don t make another sprite we just make another variable right,C
After Dec11-2019 - t99 t107.xlsx,S1, Make a variable. What are you doing? I think you're actually brain dead.,what are you doing,O
After Dec11-2019 - t99 t107.xlsx,S1," Ugh. Wait, where did it go?",wait where did it go,C
After Dec11-2019 - t99 t107.xlsx,S1, Should we make a new sprite?,should we make a new sprite,C
After Dec11-2019 - t99 t107.xlsx,S2," I don't know but it doesn't say to, does it?",i don t know but it doesn t say to does it,C
After Dec11-2019 - t99 t107.xlsx,S2," But then, what variable do we do it under?",but then what variable do we do it under,C
After Dec11-2019 - t99 t107.xlsx,S2, Do we do it under?,do we do it under,C
After Dec11-2019 - t99 t107.xlsx,S1," I think it's for all sprites, right? And a lock. Wait, let's just try it first.",i think it s for all sprites right,C
After Dec11-2019 - t99 t107.xlsx,S1, What?,what,C
After Dec11-2019 - t99 t107.xlsx,S1," I set... Oh, when I am clicked. There we go. Why can you still not move? I don't get this girl. That sounds wrong. I don't get this girl? This girl is so-",why can you still not move,O
After Dec11-2019 - t99 t107.xlsx,S1, Message. Where's message?,where s message,C
After Dec11-2019 - t99 t107.xlsx,S2," Can I see something? Oh, I think it's also supposed to be a change... Wait, I think we need to make another one. When flag is clicked... Oh my gosh, why is it moving so much? It's make me dizzy.",can i see something,C
After Dec11-2019 - t99 t107.xlsx,S1," Why does ours still say, ""Can't move."" When it's moving?",when it s moving,O
After Dec11-2019 - t99 t107.xlsx,S2, Forever. Do we need to put it in a forever box? Change sugar level box-,do we need to put it in a forever box,C
After Dec11-2019 - t99 t107.xlsx,S1, Are you sure it's not negative? Let me see. Let me see. Let me see!,are you sure it s not negative,C
After Dec11-2019 - t99 t107.xlsx,S2, A pen?,a pen,C
After Dec11-2019 - t99 t107.xlsx,S2, What does it say?,what does it say,C
After Dec11-2019 - t99 t107.xlsx,S1," Oh, so it's always going to say it?",oh so it s always going to say it,C
After Dec11-2019 - t99 t107.xlsx,S2," Why isn't it running? Oh, thank you.",why isn t it running,O
After Dec11-2019 - t99 t107.xlsx,S2, How are you guys doing this?,how are you guys doing this,O
After Dec11-2019 - t99 t107.xlsx,S1," Okay, wait. It's the message one, right?",it s the message one right,C
After Dec11-2019 - t99 t107.xlsx,S1," Why does it just say, ""Need""?",why does it just say need,O
After Dec11-2019 - t99 t107.xlsx,S1," It was need water, that's what we need to put, right?",it was need water that s what we need to put right,C
After Dec11-2019 - t99 t107.xlsx,S1," What, why is it 100? What the? I'm kind of confused right now.",what why is it one hundred,C
After Dec11-2019 - t99 t107.xlsx,S1," Okay, we're going to restart from the very beginning. Okay?",okay,C
After Dec11-2019 - t99 t107.xlsx,S2, We should just ask for help. Can we?,can we,C
After Dec11-2019 - t99 t107.xlsx,S2, But we didn't even set anything to... Would it like?,would it like,C
After Dec11-2019 - t99 t107.xlsx,S1," We did it in the sprite, right?",we did it in the sprite right,C
After Dec11-2019 - t99 t107.xlsx,S2, Did it change?,did it change,C
After Dec11-2019 - t99 t107.xlsx,S1," I think, right? If sugar level is greater than 50, it should say-",i think right,C
After Dec11-2019 - t99 t107.xlsx,S1," Okay, and then what? Whoa, whoa, whoa, whoa, whoa. Wait. Okay. In either the cases.",okay and then what,C
After Dec11-2019 - t99 t107.xlsx,S2," No, I think it's like this. Can I see it?",can i see it,C
After Dec11-2019 - t99 t107.xlsx,S1," Wait, wait, I've got something. Wait, is it homeostasis? That's all I got. I don't know what it's supposed to-",wait is it homeostasis,C
After Dec11-2019 - t99 t107.xlsx,S2," If sugar level is greater than 50, then what does it say?",if sugar level is greater than fifty then what does it say,C
After Dec11-2019 - t99 t107.xlsx,S1, Sugar level? Wait? No. It should say-,sugar level,C
After Dec11-2019 - t99 t107.xlsx,S2," Because in this say, homeostasis, right?",because in this say homeostasis right,C
After Dec11-2019 - t99 t107.xlsx,S2," Wow! But then she's supposed to move again once you give her the water. Right? Because in the message, it says that... What, I don't understand. Isn't it supposed to reset back to 100?",right,C
After Dec11-2019 - t99 t107.xlsx,S1," Where's the ""Need water""?",where s the need water,C
After Dec11-2019 - t99 t107.xlsx,S2," Yeah, actually, where is the ""Need water""?",yeah actually where is the need water,C
After Dec11-2019 - t99 t107.xlsx,S2," Oh, what do you mean? Day 25 again.",oh what do you mean,C
After Dec11-2019 - t99 t107.xlsx,S1, How are they going to type out what I am doing? How are they? Just make random gargling noises. Where's the food?,how are they going to type out what i am doing,O
After Dec11-2019 - t99 t107.xlsx,S2, What happened?,what happened,C
After Dec11-2019 - t99 t107.xlsx,S2," Let's go. Okay, wait and then what do we do? And then when I am clicked-",okay wait and then what do we do,C
After Dec11-2019 - t99 t107.xlsx,S1, Did we already do that? I thought we already did that.,did we already do that,C
After Dec11-2019 - t99 t107.xlsx,S2, Oh wait. Where is the max anyway?,where is the max anyway,C
After Dec11-2019 - t99 t107.xlsx,S1," Yeah, it's going to be so much more hard. Okay, sweat and body temperature. I hate sweat. I hate sweating. Should I just leave it like that?",should i just leave it like that,O
After Dec11-2019 - t99 t107.xlsx,S2, You don't?,you don t,C
After Dec11-2019 - t99 t107.xlsx,S2, But what do we do with it? Like what?,but what do we do with it,C
After Dec11-2019 - t99 t107.xlsx,S1," When the flag is clicked, I guess? Set... Unavailable. It's an error. Set the body temperature to 98.6... Oh my gosh, they're taking a video of this. I totally forgot.",when the flag is clicked i guess,C
After Dec11-2019 - t99 t107.xlsx,S2," That's okay. Wait, are they watching us right now?",wait are they watching us right now,C
After Dec11-2019 - t99 t107.xlsx,S1," You're just like watching. It's cool, right?",it s cool right,C
After Dec11-2019 - t99 t107.xlsx,S2," Wait, why one?",wait why one,O
After Dec11-2019 - t99 t107.xlsx,S1," I don't know, why 98.6?",i don t know why ninety-eight six,O
After Dec11-2019 - t99 t107.xlsx,S1," I don't know either. Okay, set body temperature to, what?",okay set body temperature to what,C
After Dec11-2019 - t99 t107.xlsx,S1," Oh. 98.6, are you sure that's right?",ninety-eight six are you sure that s right,C
After Dec11-2019 - t99 t107.xlsx,S1," Okay, so homeostasis, got to be up here. Exercise level is going to be right here. Water level is going to be right here. And then sugar level is going to be right here. Body temperature's going to be right here. And then sweat is going to be right here. Isn't that beautiful now? Okay. Okay, when the sweat is one, the body temperature should increase by 0.000... Gosh.",isn t that beautiful now,C
After Dec11-2019 - t99 t107.xlsx,S1," Oh god. Wait, how do we do that?",wait how do we do that,O
After Dec11-2019 - t99 t107.xlsx,S2, Do you know it?,do you know it,C
After Dec11-2019 - t99 t107.xlsx,S2, Are you saying that just because the camera's watching? Okay. I don't know what to do. You can do it.,are you saying that just because the camera s watching,C
After Dec11-2019 - t99 t107.xlsx,S2," Okay, so what are we doing now? What are you doing?",okay so what are we doing now,O
After Dec11-2019 - t99 t107.xlsx,S1," Yeah, should it be when flag is clicked? Or when I am clicked? Or-",yeah should it be when flag is clicked,C
After Dec11-2019 - t99 t107.xlsx,S2, What is this?,what is this,C
After Dec11-2019 - t99 t107.xlsx,S1, Okay. Ready?,ready,C
After Dec11-2019 - t99 t107.xlsx,S1, I know right?,i know right,C
After Dec11-2019 - t99 t107.xlsx,S2," I know, right? It's so weird.",i know right,C
After Dec11-2019 - t99 t107.xlsx,S1, When the sweat equals one. So then how would you do one the sweat?,so then how would you do one the sweat,O
After Dec11-2019 - t99 t107.xlsx,S2," I think there's a when button, right?",i think there s a when button right,C
After Dec11-2019 - t99 t107.xlsx,S1, There is?,there is,C
After Dec11-2019 - t99 t107.xlsx,S1, Oh this?,oh this,C
After Dec11-2019 - t99 t107.xlsx,S1, We're actually supposed to use that? We've never used that before.,we re actually supposed to use that,C
